,01_95stain1-120716_S1_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
3primeUtr,737840
5primeUtr,276308
ENSG00000000419.12,459
ENSG00000000460.16,4
ENSG00000001036.13,253
ENSG00000001460.17,14
ENSG00000001461.16,29
ENSG00000001497.16,60
ENSG00000001630.15,128
ENSG00000001631.14,49
ENSG00000002016.16,1
ENSG00000002330.13,195
ENSG00000002549.12,106
ENSG00000002587.9,9
ENSG00000002822.15,1
ENSG00000002834.17,3
ENSG00000002919.14,24
ENSG00000003147.17,65
ENSG00000003393.14,15
ENSG00000003402.19,21
ENSG00000003436.14,183
ENSG00000003756.16,66
ENSG00000003987.13,8
ENSG00000004059.10,138
ENSG00000004142.11,76
ENSG00000004455.16,720
ENSG00000004487.15,39
ENSG00000004534.14,33
ENSG00000004700.15,18
ENSG00000004766.15,1
ENSG00000004779.9,613
ENSG00000004864.13,58
ENSG00000004866.18,27
ENSG00000004897.11,8
ENSG00000004961.14,127
ENSG00000005007.12,16
ENSG00000005020.12,14
ENSG00000005022.5,636
ENSG00000005059.15,133
ENSG00000005075.15,357
ENSG00000005175.9,98
ENSG00000005187.11,35
ENSG00000005189.19,92
ENSG00000005194.14,77
ENSG00000005206.16,8
ENSG00000005249.12,144
ENSG00000005339.12,4
ENSG00000005436.13,26
ENSG00000005448.16,79
ENSG00000005469.11,35
ENSG00000005483.19,104
ENSG00000005486.16,261
ENSG00000005700.14,33
ENSG00000005801.16,79
ENSG00000005889.15,33
ENSG00000005893.15,117
ENSG00000005961.17,8
ENSG00000006007.11,1
ENSG00000006015.17,192
ENSG00000006042.11,244
ENSG00000006062.13,3
ENSG00000006125.16,52
ENSG00000006194.9,1
ENSG00000006327.13,32
ENSG00000006451.7,284
ENSG00000006453.13,1
ENSG00000006459.10,22
ENSG00000006468.13,44
ENSG00000006534.15,10
ENSG00000006576.16,18
ENSG00000006625.17,163
ENSG00000006634.7,49
ENSG00000006638.11,19
ENSG00000006652.13,240
ENSG00000006695.10,12
ENSG00000006712.14,10
ENSG00000006757.11,159
ENSG00000007038.10,110
ENSG00000007047.14,28
ENSG00000007080.10,88
ENSG00000007168.12,34
ENSG00000007202.14,33
ENSG00000007255.10,173
ENSG00000007264.13,10
ENSG00000007341.18,3
ENSG00000007372.20,16
ENSG00000007392.16,21
ENSG00000007520.3,1
ENSG00000007541.14,4
ENSG00000007968.6,30
ENSG00000008018.8,931
ENSG00000008083.13,1
ENSG00000008130.15,49
ENSG00000008282.7,236
ENSG00000008283.15,1
ENSG00000008294.20,36
ENSG00000008324.10,359
ENSG00000008382.15,5
ENSG00000008394.12,347
ENSG00000008405.11,13
ENSG00000008517.16,4
ENSG00000008838.17,3
ENSG00000008869.11,60
ENSG00000008952.16,254
ENSG00000008988.9,1011
ENSG00000009307.15,142
ENSG00000009335.17,72
ENSG00000009413.15,30
ENSG00000009844.15,46
ENSG00000009954.10,134
ENSG00000010017.12,81
ENSG00000010072.15,26
ENSG00000010219.13,16
ENSG00000010244.16,113
ENSG00000010256.10,154
ENSG00000010270.13,85
ENSG00000010292.12,15
ENSG00000010322.15,1
ENSG00000010379.15,29
ENSG00000010404.17,63
ENSG00000010803.16,20
ENSG00000011007.12,24
ENSG00000011009.10,66
ENSG00000011132.11,9
ENSG00000011143.16,11
ENSG00000011243.17,5
ENSG00000011260.13,41
ENSG00000011275.18,34
ENSG00000011295.15,44
ENSG00000011304.16,196
ENSG00000011422.11,32
ENSG00000011426.10,151
ENSG00000011454.16,39
ENSG00000011478.11,16
ENSG00000011485.14,3
ENSG00000011600.11,70
ENSG00000011638.10,12
ENSG00000012048.19,138
ENSG00000012061.15,62
ENSG00000012124.14,7
ENSG00000012174.11,12
ENSG00000012232.8,29
ENSG00000012660.13,96
ENSG00000012779.10,3
ENSG00000013275.7,45
ENSG00000013288.8,30
ENSG00000013306.15,56
ENSG00000013374.15,77
ENSG00000013375.15,72
ENSG00000013392.7,53
ENSG00000013441.15,7
ENSG00000013561.17,64
ENSG00000013573.16,15
ENSG00000013583.8,19
ENSG00000014123.9,25
ENSG00000014138.8,16
ENSG00000014216.15,39
ENSG00000014641.17,745
ENSG00000014824.13,28
ENSG00000014919.12,34
ENSG00000015285.10,6
ENSG00000015475.18,260
ENSG00000015676.17,8
ENSG00000016864.16,27
ENSG00000017260.19,1
ENSG00000017427.15,31
ENSG00000017797.11,131
ENSG00000018189.12,21
ENSG00000018280.16,62
ENSG00000018510.12,32
ENSG00000018699.11,24
ENSG00000019102.11,1
ENSG00000020426.10,47
ENSG00000020922.12,19
ENSG00000021355.12,157
ENSG00000021776.10,14
ENSG00000022277.12,200
ENSG00000022840.15,22
ENSG00000023041.11,49
ENSG00000023191.16,37
ENSG00000023228.13,22
ENSG00000023318.7,154
ENSG00000023330.14,61
ENSG00000023516.8,10
ENSG00000023572.8,685
ENSG00000023608.4,37
ENSG00000023697.12,71
ENSG00000023734.10,31
ENSG00000023902.13,12
ENSG00000023909.9,98
ENSG00000024422.11,8
ENSG00000024526.16,3
ENSG00000024862.16,77
ENSG00000025156.12,20
ENSG00000025293.15,7
ENSG00000025434.18,34
ENSG00000025708.12,17
ENSG00000025770.18,102
ENSG00000025772.7,114
ENSG00000025796.13,88
ENSG00000025800.13,17
ENSG00000026025.13,1575
ENSG00000026297.15,228
ENSG00000026508.16,1
ENSG00000026559.13,38
ENSG00000027001.9,25
ENSG00000027697.12,71
ENSG00000027847.13,14
ENSG00000027869.11,7
ENSG00000028203.17,28
ENSG00000028310.17,5
ENSG00000028528.14,44
ENSG00000028839.9,259
ENSG00000029363.15,16
ENSG00000029534.19,1
ENSG00000029639.10,32
ENSG00000029725.16,42
ENSG00000029993.14,47
ENSG00000030582.16,68
ENSG00000031003.10,11
ENSG00000031691.6,116
ENSG00000031698.12,143
ENSG00000031823.14,2
ENSG00000032219.18,23
ENSG00000032389.12,59
ENSG00000033011.11,4
ENSG00000033030.13,42
ENSG00000033050.7,42
ENSG00000033178.12,119
ENSG00000033627.14,17
ENSG00000033800.13,14
ENSG00000034510.5,3483
ENSG00000034677.11,7
ENSG00000034693.14,12
