Base position	No. reads	Exon
108284098	2	1.0
108284099	2	1.0
108284100	2	1.0
108284101	2	1.0
108284102	2	1.0
108284103	6	1.0
108284104	6	1.0
108284105	6	1.0
108284106	6	1.0
108284107	6	1.0
108284108	6	1.0
108284109	6	1.0
108284110	6	1.0
108284111	6	1.0
108284112	6	1.0
108284113	6	1.0
108284114	6	1.0
108284115	6	1.0
108284116	6	1.0
108284117	6	1.0
108284118	6	1.0
108284119	6	1.0
108284120	6	1.0
108284121	6	1.0
108284122	6	1.0
108284123	6	1.0
108284124	6	1.0
108284125	6	1.0
108284126	6	1.0
108284127	6	1.0
108284128	6	1.0
108284129	6	1.0
108284130	6	1.0
108284131	6	1.0
108284132	6	1.0
108284133	6	1.0
108284134	6	1.0
108284135	6	1.0
108284136	6	1.0
108284137	6	1.0
108284138	6	1.0
108284139	6	1.0
108284140	6	1.0
108284141	6	1.0
108284142	6	1.0
108284143	6	1.0
108284144	6	1.0
108284145	6	1.0
108284146	6	1.0
108284147	6	1.0
108284148	6	1.0
108284149	6	1.0
108284150	6	1.0
108284151	6	1.0
108284152	6	1.0
108284153	6	1.0
108284154	6	1.0
108284155	6	1.0
108284156	6	1.0
108284157	2	1.0
108284158	2	1.0
108284159	2	1.0
108284160	2	1.0
108284161	2	1.0
108284162	2	1.0
108284163	2	1.0
108284164	2	1.0
108284236	2	1.0
108284237	2	1.0
108284238	2	1.0
108284239	2	1.0
108284240	2	1.0
108284241	2	1.0
108284242	2	1.0
108284243	2	1.0
108284244	2	1.0
108284245	2	1.0
108284246	2	1.0
108284247	2	1.0
108284248	2	1.0
108284249	2	1.0
108284250	2	1.0
108284251	2	1.0
108284252	2	1.0
108284253	2	1.0
108284254	2	1.0
108284255	2	1.0
108284256	2	1.0
108284257	2	1.0
108284258	2	1.0
108284259	2	1.0
108284260	2	1.0
108284261	2	1.0
108284262	2	1.0
108284263	2	1.0
108284264	2	1.0
108284265	2	1.0
108284266	2	1.0
108284267	2	1.0
108284268	2	1.0
108284269	2	1.0
108284270	2	1.0
108284271	2	1.0
108284272	2	1.0
108284273	2	1.0
108284274	2	1.0
108284275	2	1.0
108284276	2	1.0
108284277	2	1.0
108284278	2	1.0
108284279	2	1.0
108284280	2	1.0
108284281	2	1.0
108284282	2	1.0
108284283	2	1.0
108284284	2	1.0
108284285	2	1.0
108284286	2	1.0
108284287	2	1.0
108284288	6	1.0
108284289	6	1.0
108284290	6	1.0
108284291	6	1.0
108284292	6	1.0
108284293	6	1.0
108284294	6	1.0
108284295	12	1.0
108284296	12	1.0
108284297	12	1.0
108284298	12	1.0
108284299	12	1.0
108284300	12	1.0
108284301	12	1.0
108284302	12	1.0
108284303	12	1.0
108284304	12	1.0
108284305	12	1.0
108284306	12	1.0
108284307	12	1.0
108284308	12	1.0
108284309	12	1.0
108284310	12	1.0
108284311	6	1.0
108284312	6	1.0
108284313	6	1.0
108284314	6	1.0
108284315	6	1.0
108284316	6	1.0
108284317	6	1.0
108284318	6	1.0
108284319	6	1.0
108284320	6	1.0
108284321	6	1.0
108284322	6	1.0
108284323	6	1.0
108284324	6	1.0
108284325	6	1.0
108284326	6	1.0
108284327	6	1.0
108284328	6	1.0
108284329	6	1.0
108284330	6	1.0
108284331	6	1.0
108284332	6	1.0
108284333	6	1.0
108284334	6	1.0
108284335	6	1.0
108284336	6	1.0
108284337	6	1.0
108284338	6	1.0
108284339	6	1.0
108284340	12	1.0
108284341	12	1.0
108284342	12	1.0
108284343	12	1.0
108284344	12	1.0
108284345	12	1.0
108284346	12	1.0
108284347	12	1.0
108284348	12	1.0
108284349	12	1.0
108284350	12	1.0
108284351	12	1.0
108284352	12	1.0
108284353	12	1.0
108284354	12	1.0
108284355	12	1.0
108284356	12	1.0
108284357	12	1.0
108284358	12	1.0
108284359	12	1.0
108284360	12	1.0
108284361	12	1.0
108284362	6	1.0
108284363	6	1.0
108284364	6	1.0
108284365	6	1.0
108284366	6	1.0
